"msisdn","iccid","imsi","jihuo_time","kaika_time","create_time","edit_time"
"1064803510106","898602B01615A0005106","460040035205106","","2015/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534565","898602B01615A0009000","460040035209000","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534566","898602B01615A0009001","460040035209001","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534567","898602B01615A0009002","460040035209002","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534568","898602B01615A0009003","460040035209003","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534569","898602B01615A0009004","460040035209004","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534570","898602B01615A0009005","460040035209005","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534571","898602B01615A0009006","460040035209006","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534572","898602B01615A0009007","460040035209007","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534573","898602B01615A0009008","460040035209008","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534574","898602B01615A0009009","460040035209009","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534575","898602B01615A0009010","460040035209010","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534576","898602B01615A0009011","460040035209011","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534577","898602B01615A0009012","460040035209012","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534578","898602B01615A0009013","460040035209013","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534579","898602B01615A0009014","460040035209014","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534580","898602B01615A0009015","460040035209015","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534581","898602B01615A0009016","460040035209016","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534582","898602B01615A0009017","460040035209017","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534583","898602B01615A0009018","460040035209018","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534584","898602B01615A0009019","460040035209019","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534585","898602B01615A0009020","460040035209020","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534586","898602B01615A0009021","460040035209021","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534587","898602B01615A0009022","460040035209022","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534588","898602B01615A0009023","460040035209023","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534589","898602B01615A0009024","460040035209024","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534590","898602B01615A0009025","460040035209025","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534591","898602B01615A0009026","460040035209026","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534592","898602B01615A0009027","460040035209027","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534593","898602B01615A0009028","460040035209028","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534594","898602B01615A0009029","460040035209029","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534596","898602B01615A0009031","460040035209031","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534597","898602B01615A0009032","460040035209032","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534598","898602B01615A0009033","460040035209033","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534599","898602B01615A0009034","460040035209034","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534600","898602B01615A0009035","460040035209035","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534601","898602B01615A0009036","460040035209036","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534602","898602B01615A0009037","460040035209037","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534603","898602B01615A0009038","460040035209038","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534604","898602B01615A0009039","460040035209039","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534605","898602B01615A0009040","460040035209040","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534606","898602B01615A0009041","460040035209041","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534607","898602B01615A0009042","460040035209042","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534608","898602B01615A0009043","460040035209043","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534609","898602B01615A0009044","460040035209044","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534610","898602B01615A0009045","460040035209045","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534611","898602B01615A0009046","460040035209046","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534612","898602B01615A0009047","460040035209047","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534613","898602B01615A0009048","460040035209048","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534614","898602B01615A0009049","460040035209049","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534615","898602B01615A0009050","460040035209050","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534616","898602B01615A0009051","460040035209051","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534617","898602B01615A0009052","460040035209052","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534618","898602B01615A0009053","460040035209053","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534619","898602B01615A0009054","460040035209054","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534620","898602B01615A0009055","460040035209055","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534621","898602B01615A0009056","460040035209056","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534622","898602B01615A0009057","460040035209057","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534623","898602B01615A0009058","460040035209058","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534624","898602B01615A0009059","460040035209059","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534625","898602B01615A0009060","460040035209060","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534626","898602B01615A0009061","460040035209061","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534627","898602B01615A0009062","460040035209062","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534628","898602B01615A0009063","460040035209063","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534629","898602B01615A0009064","460040035209064","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534630","898602B01615A0009065","460040035209065","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534631","898602B01615A0009066","460040035209066","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534632","898602B01615A0009067","460040035209067","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534633","898602B01615A0009068","460040035209068","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534634","898602B01615A0009069","460040035209069","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534635","898602B01615A0009070","460040035209070","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534636","898602B01615A0009071","460040035209071","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534637","898602B01615A0009072","460040035209072","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534638","898602B01615A0009073","460040035209073","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534639","898602B01615A0009074","460040035209074","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534640","898602B01615A0009075","460040035209075","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534641","898602B01615A0009076","460040035209076","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534642","898602B01615A0009077","460040035209077","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534643","898602B01615A0009078","460040035209078","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534644","898602B01615A0009079","460040035209079","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534645","898602B01615A0009080","460040035209080","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534646","898602B01615A0009081","460040035209081","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534647","898602B01615A0009082","460040035209082","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534648","898602B01615A0009083","460040035209083","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534649","898602B01615A0009084","460040035209084","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534650","898602B01615A0009085","460040035209085","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534651","898602B01615A0009086","460040035209086","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534652","898602B01615A0009087","460040035209087","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534653","898602B01615A0009088","460040035209088","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534654","898602B01615A0009089","460040035209089","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534655","898602B01615A0009090","460040035209090","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534656","898602B01615A0009091","460040035209091","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534657","898602B01615A0009092","460040035209092","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534658","898602B01615A0009093","460040035209093","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
"1064803534659","898602B01615A0009094","460040035209094","","2016/3/25","2017/5/29 20:08:00","2017/5/29 20:08:00"
