id,rf_bill_type,rf_bill_no,rf_bill_detail_no,uuid,order_id,order_type,rf_busi_id,rf_busi_type,fee_code,fee_name,invoice_method,direction,currency,bal,account_id,status,bill_type,bill_id,created,related_time,audited,modified,remark,del_status
4297,1,36193910000N16081,20100118030700000004208216,649ccdb1affc7c50d26d00f7208562b1,PO000000121120,1,PO000000121120,201001,31,采购货款,10,1,CNY,3575.84,36193910000,5,1,3302,2018-03-07 01:00:03,2018-04-10 11:43:08,2018-04-13 20:13:39,2018-04-13 20:13:39,,0
5052,1,36193910000N16081,20100118031400000003720716,07c8c370fe6c18e83f10b0a57e04e74d,PO000000135217,1,PO000000135217,201001,31,采购货款,10,1,CNY,2372.16,36193910000,5,1,3302,2018-03-14 01:00:02,2018-04-10 11:43:08,2018-04-13 20:13:39,2018-04-13 20:13:39,,0
5463,1,36193910000N16081,20100118031700000004601116,d60564a92eb9cbeaf1f922cfe393c0ae,PO000000142972,1,PO000000142972,201001,31,采购货款,10,1,CNY,2471.44,36193910000,5,1,3302,2018-03-17 01:00:02,2018-04-10 11:43:08,2018-04-13 20:13:39,2018-04-13 20:13:39,,0
5464,1,36193910000N16081,20100118031700000004601016,73d15b31ca9d17d782c507048ba33fd0,PO000000142256,1,PO000000142256,201001,31,采购货款,10,1,CNY,2585.44,36193910000,5,1,3302,2018-03-17 01:00:02,2018-04-10 11:43:08,2018-04-13 20:13:39,2018-04-13 20:13:39,,0
6052,1,36193910000N16081,20100118032100000004901016,6f351ae711601d716f5c9d8de9e3e5d9,PO000000151848,1,PO000000151848,201001,31,采购货款,10,1,CNY,1787.92,36193910000,5,1,3302,2018-03-21 01:00:04,2018-04-10 11:43:08,2018-04-13 20:13:39,2018-04-13 20:13:39,,0
6352,1,36193910000N16081,20100118032100000004900916,26534f16b143cd6d948dba72c12a3a75,PO000000147820,1,PO000000147820,201001,31,采购货款,10,1,CNY,2280.28,36193910000,5,1,3302,2018-03-21 01:00:05,2018-04-10 11:43:08,2018-04-13 20:13:39,2018-04-13 20:13:39,,0
6641,1,36193910000N16081,20100118032800000005210016,db84e90f6564b429ac86d852c8813ef8,PO000000165399,1,PO000000165399,201001,31,采购货款,10,1,CNY,3467.52,36193910000,5,1,3302,2018-03-28 01:00:02,2018-04-10 11:43:08,2018-04-13 20:13:39,2018-04-13 20:13:39,,0
6793,1,36193910000N16081,20100118032800000005210116,705399b3c908a8b64c31c2f1635b5a16,PO000000167157,1,PO000000167157,201001,31,采购货款,10,1,CNY,1787.92,36193910000,5,1,3302,2018-03-28 01:00:02,2018-04-10 11:43:08,2018-04-13 20:13:39,2018-04-13 20:13:39,,0
7262,1,36193910000N16081,20100118033100000004913116,92e6e53e2527cec77b2b8fa86ff361b7,PO000000175304,1,PO000000175304,201001,31,采购货款,10,1,CNY,2175.40,36193910000,5,1,3302,2018-03-31 01:00:02,2018-04-10 11:43:08,2018-04-13 20:13:39,2018-04-13 20:13:39,,0
7335,1,36193910000N22054,20100118040400000005115016,2deaf7ef2d25fbe961c01ec39f499e07,PO000000183700,1,PO000000183700,201001,31,采购货款,10,1,CNY,1582.56,36193910000,2,,,2018-04-04 01:00:03,,,2018-04-04 02:00:00,,0
